global_step,episode,step,timestamp,elapsed_time,worker_id,environment,device,obs_space_shape,action_space_type,action_space_size,system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,gpu_memory_gb,gpu_memory_max_gb,step_reward,step_action,step_log_prob,step_obs_mean,step_obs_std,step_obs_max,step_obs_min,action_selection_time,env_step_time,cumulative_reward,checkpoint_saved,checkpoint_episode,avg_reward,reward_change,model_file
34,2,7,1752712458.9231107,4.869079113006592,10.0,,,,,,70.0,80.1,12.406761169433594,225.82709121704102,0.017915725708007812,0.018978118896484375,1.0,0.0,-0.6990431547164917,0.04662254452705383,1.0087034702301025,1.1017398834228516,-1.2152568101882935,0.003790616989135742,0.0036950111389160156,8.0,,,,,
35,2,8,1752712458.9370377,4.88300633430481,10.0,,,,,,71.4,80.1,12.406761169433594,225.82708358764648,0.017917156219482422,0.018978118896484375,1.0,1.0,-0.564690351486206,0.05523651838302612,1.3319350481033325,1.469778060913086,-1.5719157457351685,0.0037729740142822266,0.00360870361328125,9.0,,,,,
36,2,9,1752712458.9494565,4.895424842834473,10.0,,,,,,69.6,80.2,12.383930206298828,225.82707595825195,0.01791858673095703,0.018978118896484375,1.0,1.0,-0.6615734696388245,0.07297223806381226,1.170906901359558,1.1511224508285522,-1.218470811843872,0.0034940242767333984,0.002852201461791992,10.0,,,,,
37,2,10,1752712458.9622247,4.908193111419678,10.0,,,,,,64.0,80.2,12.368335723876953,225.82707595825195,0.01792001724243164,0.018978118896484375,1.0,0.0,-0.6017054319381714,0.091677725315094,1.0591027736663818,1.1604424715042114,-0.8657853603363037,0.0032401084899902344,0.003414154052734375,11.0,,,,,
38,2,11,1752712458.9754667,4.921435117721558,10.0,,,,,,61.5,80.2,12.352954864501953,225.82707595825195,0.01792144775390625,0.018978118896484375,1.0,0.0,-0.7499110698699951,0.10614913702011108,1.3432537317276,1.294939637184143,-1.2237036228179932,0.0037174224853515625,0.0033626556396484375,12.0,,,,,
39,2,12,1752712458.9889867,4.93495512008667,10.0,,,,,,66.7,80.2,12.35296630859375,225.82705307006836,0.01792287826538086,0.018978118896484375,1.0,0.0,-0.8774813413619995,0.1257176399230957,1.6711878776550293,1.6230380535125732,-1.581737995147705,0.00424504280090332,0.003615856170654297,13.0,,,,,
40,2,13,1752712459.002393,4.948361158370972,10.0,,,,,,63.0,80.2,12.352981567382812,225.82701873779297,0.01792430877685547,0.018978118896484375,1.0,1.0,-0.4715384840965271,0.15101927518844604,2.033482551574707,2.0215225219726562,-1.939888596534729,0.004024505615234375,0.003433704376220703,14.0,,,,,
41,3,0,1752712459.092218,5.038186311721802,10.0,,,,,,63.1,80.2,12.36056900024414,225.8269920349121,0.017905712127685547,0.018978118896484375,1.0,0.0,-0.12848162651062012,0.05420508608222008,0.2264794111251831,0.3630697429180145,-0.14247183501720428,0.003486156463623047,0.0033559799194335938,1.0,,,,,
42,3,1,1752712459.1047997,5.050768136978149,10.0,,,,,,62.5,80.2,12.345443725585938,225.82697677612305,0.017907142639160156,0.018978118896484375,1.0,0.0,-0.20063447952270508,0.05127076804637909,0.4287721812725067,0.42542266845703125,-0.4976482093334198,0.004123210906982422,0.0031816959381103516,2.0,,,,,
43,3,2,1752712459.1176302,5.0635986328125,10.0,,,,,,64.0,80.2,12.345073699951172,225.82696914672852,0.017908573150634766,0.018978118896484375,1.0,0.0,-0.3234664797782898,0.0507243275642395,0.6835534572601318,0.770736575126648,-0.8528382182121277,0.003346681594848633,0.003437042236328125,3.0,,,,,
44,3,3,1752712459.1326735,5.078641891479492,10.0,,,,,,62.1,80.2,12.345447540283203,225.82696914672852,0.017910003662109375,0.018978118896484375,1.0,1.0,-0.9369207620620728,0.05308067798614502,0.9572322368621826,1.1184121370315552,-1.208191990852356,0.004099369049072266,0.004230499267578125,4.0,,,,,
45,3,4,1752712459.1475947,5.093563079833984,10.0,,,,,,64.5,80.2,12.345447540283203,225.82695770263672,0.017911434173583984,0.018978118896484375,1.0,0.0,-0.390854150056839,0.0628817230463028,0.682759702205658,0.7756970524787903,-0.8531687259674072,0.004616737365722656,0.0037505626678466797,5.0,,,,,
46,3,5,1752712459.162647,5.108615159988403,10.0,,,,,,62.1,80.2,12.345458984375,225.82695388793945,0.017912864685058594,0.018978118896484375,1.0,0.0,-0.5845791101455688,0.06801655888557434,0.9838823676109314,1.1344289779663086,-1.2092632055282593,0.004534244537353516,0.003983736038208008,6.0,,,,,
47,3,6,1752712459.1779556,5.123924016952515,10.0,,,,,,64.5,80.2,12.345458984375,225.82695388793945,0.017914295196533203,0.018978118896484375,1.0,1.0,-0.5988447070121765,0.07706695795059204,1.3003337383270264,1.4975029230117798,-1.5656088590621948,0.004548311233520508,0.004474163055419922,7.0,,,,,
48,3,7,1752712459.1904225,5.136390924453735,10.0,,,,,,64.0,80.2,12.345458984375,225.82694625854492,0.017915725708007812,0.018978118896484375,1.0,0.0,-0.7269786596298218,0.09494805335998535,1.1100987195968628,1.173465371131897,-1.2117953300476074,0.0037331581115722656,0.0027637481689453125,8.0,,,,,
49,3,8,1752712459.2029238,5.148892164230347,10.0,,,,,,62.5,80.2,12.345470428466797,225.8269157409668,0.017917156219482422,0.018978118896484375,1.0,1.0,-0.49386993050575256,0.10903626680374146,1.4400759935379028,1.5512871742248535,-1.5690293312072754,0.0035364627838134766,0.003382444381713867,9.0,,,,,
